id,disease,plants,names,disease_description,treatment_suggestions,symptoms,region,severity,control_measures
241,Anthracnose,Wheat,Solanum,A viral infection,Rotate crops,Yellowing leaves,America,Medium,Avoid overhead irrigation
242,Leaf Spot,Wheat,Zea,A parasitic infection,Use fungicides,Black spots on leaves,America,Low,Use certified seeds
243,Anthracnose,Corn,Glycine,A bacterial infection,Rotate crops,Reddish pustules,Africa,High,Use certified seeds
244,Rust,Soybean,Triticum,A viral infection,Use resistant varieties,White powder on leaves,America,High,Maintain field hygiene
245,Powdery Mildew,Corn,Glycine,Caused by nematodes,Use fungicides,Black spots on leaves,America,Medium,Use certified seeds
246,Powdery Mildew,Potato,Solanum,A fungal disease,Apply neem oil,Leaf curling,Europe,Low,Maintain field hygiene
247,Rust,Soybean,Lycopersicon,A fungal disease,Use resistant varieties,Black spots on leaves,America,Low,Use certified seeds
248,Powdery Mildew,Tomato,Glycine,A viral infection,Apply neem oil,Leaf curling,Europe,Medium,Maintain field hygiene
249,Leaf Spot,Soybean,Solanum,A parasitic infection,Use resistant varieties,Leaf curling,Europe,Low,Crop rotation
250,Rust,Tomato,Zea,Caused by nematodes,Apply neem oil,Black spots on leaves,Australia,High,Use mulch
251,Leaf Spot,Wheat,Triticum,A fungal disease,Rotate crops,Leaf curling,Europe,High,Use mulch
252,Leaf Spot,Potato,Lycopersicon,A viral infection,Maintain good hygiene,White powder on leaves,Africa,High,Use certified seeds
253,Rust,Wheat,Glycine,A viral infection,Maintain good hygiene,Reddish pustules,Europe,High,Crop rotation
254,Anthracnose,Corn,Solanum,A bacterial infection,Use resistant varieties,Yellowing leaves,Europe,Medium,Use mulch
255,Anthracnose,Wheat,Glycine,Caused by nematodes,Apply neem oil,Black spots on leaves,Asia,Medium,Use mulch
256,Powdery Mildew,Wheat,Triticum,Caused by nematodes,Use resistant varieties,Leaf curling,Africa,Medium,Maintain field hygiene
257,Rust,Soybean,Lycopersicon,A parasitic infection,Rotate crops,Reddish pustules,Asia,Low,Use mulch
258,Leaf Spot,Tomato,Glycine,A parasitic infection,Maintain good hygiene,Leaf curling,Australia,Medium,Use certified seeds
259,Anthracnose,Potato,Triticum,A viral infection,Apply neem oil,Reddish pustules,Europe,High,Crop rotation
260,Anthracnose,Wheat,Lycopersicon,A bacterial infection,Apply neem oil,Black spots on leaves,Africa,Medium,Maintain field hygiene
261,Powdery Mildew,Wheat,Glycine,A viral infection,Rotate crops,Leaf curling,Africa,Low,Avoid overhead irrigation
262,Powdery Mildew,Tomato,Solanum,A parasitic infection,Maintain good hygiene,Yellowing leaves,Australia,High,Use certified seeds
263,Powdery Mildew,Corn,Triticum,A fungal disease,Apply neem oil,Yellowing leaves,America,Medium,Maintain field hygiene
264,Powdery Mildew,Corn,Solanum,A bacterial infection,Maintain good hygiene,Black spots on leaves,Africa,High,Maintain field hygiene
265,Rust,Soybean,Triticum,Caused by nematodes,Use fungicides,Leaf curling,America,Low,Avoid overhead irrigation
266,Late Blight,Tomato,Solanum,A fungal disease,Use resistant varieties,Black spots on leaves,Australia,Medium,Crop rotation
267,Anthracnose,Wheat,Solanum,A fungal disease,Rotate crops,Reddish pustules,America,Medium,Avoid overhead irrigation
268,Powdery Mildew,Corn,Glycine,Caused by nematodes,Apply neem oil,Black spots on leaves,Australia,High,Avoid overhead irrigation
269,Leaf Spot,Corn,Glycine,A viral infection,Use fungicides,Yellowing leaves,Europe,Low,Use certified seeds
270,Anthracnose,Potato,Solanum,A bacterial infection,Apply neem oil,White powder on leaves,Europe,Medium,Use certified seeds
271,Powdery Mildew,Potato,Triticum,A fungal disease,Use fungicides,Leaf curling,Europe,Medium,Use mulch
272,Powdery Mildew,Soybean,Glycine,A viral infection,Use fungicides,White powder on leaves,Asia,Medium,Maintain field hygiene
273,Rust,Corn,Glycine,Caused by nematodes,Maintain good hygiene,Yellowing leaves,Africa,High,Use certified seeds
274,Late Blight,Corn,Solanum,A viral infection,Rotate crops,White powder on leaves,Australia,Low,Maintain field hygiene
275,Late Blight,Tomato,Triticum,A fungal disease,Apply neem oil,Reddish pustules,America,Medium,Avoid overhead irrigation
276,Rust,Potato,Solanum,A bacterial infection,Use resistant varieties,White powder on leaves,Australia,Low,Use certified seeds
277,Leaf Spot,Potato,Zea,A bacterial infection,Rotate crops,Black spots on leaves,Asia,Medium,Use certified seeds
278,Late Blight,Corn,Solanum,Caused by nematodes,Use resistant varieties,Yellowing leaves,America,Low,Avoid overhead irrigation
279,Leaf Spot,Soybean,Triticum,A viral infection,Apply neem oil,Leaf curling,Asia,Low,Maintain field hygiene
280,Anthracnose,Corn,Glycine,A parasitic infection,Apply neem oil,Yellowing leaves,America,Low,Maintain field hygiene
281,Anthracnose,Wheat,Glycine,A bacterial infection,Use resistant varieties,Black spots on leaves,Africa,Low,Crop rotation
282,Late Blight,Potato,Lycopersicon,A parasitic infection,Apply neem oil,Yellowing leaves,Europe,Medium,Crop rotation
283,Late Blight,Potato,Solanum,A viral infection,Use fungicides,White powder on leaves,Europe,Low,Crop rotation
284,Anthracnose,Tomato,Glycine,A viral infection,Use fungicides,White powder on leaves,Africa,Medium,Maintain field hygiene
285,Anthracnose,Soybean,Zea,A parasitic infection,Apply neem oil,Reddish pustules,Africa,Medium,Avoid overhead irrigation
286,Late Blight,Tomato,Glycine,Caused by nematodes,Maintain good hygiene,Black spots on leaves,Europe,Low,Use mulch
287,Anthracnose,Potato,Zea,A parasitic infection,Apply neem oil,Black spots on leaves,Australia,High,Use mulch
288,Late Blight,Soybean,Glycine,A fungal disease,Apply neem oil,Leaf curling,America,High,Use mulch
289,Rust,Corn,Glycine,A parasitic infection,Use resistant varieties,Leaf curling,Australia,High,Use certified seeds
290,Powdery Mildew,Corn,Triticum,A parasitic infection,Use fungicides,Leaf curling,Australia,Low,Use mulch
291,Late Blight,Soybean,Glycine,Caused by nematodes,Maintain good hygiene,Black spots on leaves,Africa,Medium,Use mulch
292,Leaf Spot,Wheat,Zea,A fungal disease,Use fungicides,Reddish pustules,Europe,Low,Avoid overhead irrigation
293,Late Blight,Corn,Triticum,A viral infection,Maintain good hygiene,Leaf curling,America,Low,Crop rotation
294,Anthracnose,Tomato,Glycine,A fungal disease,Rotate crops,White powder on leaves,Europe,High,Avoid overhead irrigation
295,Leaf Spot,Corn,Triticum,A parasitic infection,Rotate crops,Leaf curling,Europe,High,Use certified seeds
296,Leaf Spot,Corn,Glycine,A viral infection,Maintain good hygiene,Leaf curling,Europe,Medium,Crop rotation
297,Powdery Mildew,Wheat,Lycopersicon,Caused by nematodes,Apply neem oil,Black spots on leaves,Africa,Low,Maintain field hygiene
298,Late Blight,Corn,Triticum,A viral infection,Use fungicides,Yellowing leaves,Europe,High,Maintain field hygiene
299,Rust,Tomato,Zea,Caused by nematodes,Use resistant varieties,Yellowing leaves,Europe,Low,Use certified seeds
300,Leaf Spot,Tomato,Lycopersicon,A parasitic infection,Rotate crops,White powder on leaves,America,Low,Avoid overhead irrigation
301,Leaf Spot,Tomato,Glycine,A fungal disease,Use resistant varieties,Leaf curling,Africa,Medium,Avoid overhead irrigation
302,Rust,Potato,Glycine,A fungal disease,Apply neem oil,White powder on leaves,Australia,Medium,Maintain field hygiene
303,Leaf Spot,Corn,Lycopersicon,A fungal disease,Maintain good hygiene,White powder on leaves,Asia,Medium,Avoid overhead irrigation
304,Anthracnose,Corn,Solanum,A fungal disease,Use resistant varieties,Leaf curling,Europe,High,Maintain field hygiene
305,Rust,Soybean,Lycopersicon,A fungal disease,Apply neem oil,White powder on leaves,Europe,Medium,Avoid overhead irrigation
306,Anthracnose,Wheat,Zea,A bacterial infection,Apply neem oil,White powder on leaves,America,High,Use certified seeds
307,Late Blight,Potato,Glycine,A parasitic infection,Use resistant varieties,Reddish pustules,Australia,Medium,Avoid overhead irrigation
308,Late Blight,Corn,Triticum,A fungal disease,Use fungicides,White powder on leaves,Asia,Low,Avoid overhead irrigation
309,Late Blight,Tomato,Solanum,A fungal disease,Rotate crops,Yellowing leaves,America,Medium,Avoid overhead irrigation
310,Anthracnose,Potato,Triticum,Caused by nematodes,Rotate crops,Reddish pustules,Asia,Medium,Use mulch
311,Leaf Spot,Potato,Lycopersicon,A parasitic infection,Apply neem oil,Black spots on leaves,America,Low,Use mulch
312,Leaf Spot,Tomato,Glycine,Caused by nematodes,Rotate crops,Leaf curling,America,Medium,Maintain field hygiene
313,Rust,Soybean,Zea,A fungal disease,Apply neem oil,Black spots on leaves,Africa,Medium,Use certified seeds
314,Rust,Corn,Lycopersicon,A parasitic infection,Use fungicides,Leaf curling,America,High,Use certified seeds
315,Leaf Spot,Wheat,Lycopersicon,A parasitic infection,Maintain good hygiene,Reddish pustules,Australia,Medium,Use mulch
316,Powdery Mildew,Soybean,Triticum,A parasitic infection,Maintain good hygiene,Black spots on leaves,Africa,High,Maintain field hygiene
317,Anthracnose,Wheat,Triticum,A viral infection,Maintain good hygiene,Yellowing leaves,Asia,Medium,Use certified seeds
318,Anthracnose,Wheat,Glycine,A bacterial infection,Use fungicides,White powder on leaves,Africa,Medium,Use certified seeds
319,Anthracnose,Corn,Triticum,A bacterial infection,Maintain good hygiene,Leaf curling,Asia,High,Avoid overhead irrigation
320,Powdery Mildew,Potato,Solanum,A fungal disease,Maintain good hygiene,Black spots on leaves,Asia,High,Use mulch
321,Rust,Tomato,Glycine,A bacterial infection,Use resistant varieties,Leaf curling,Asia,High,Use certified seeds
322,Rust,Wheat,Zea,A parasitic infection,Use fungicides,White powder on leaves,America,Medium,Use mulch
323,Anthracnose,Soybean,Solanum,A viral infection,Maintain good hygiene,Reddish pustules,Australia,High,Avoid overhead irrigation
324,Rust,Corn,Lycopersicon,A bacterial infection,Use resistant varieties,Reddish pustules,Africa,Medium,Use mulch
325,Anthracnose,Corn,Triticum,A bacterial infection,Maintain good hygiene,Yellowing leaves,Asia,High,Avoid overhead irrigation
326,Leaf Spot,Soybean,Zea,A viral infection,Apply neem oil,Yellowing leaves,Australia,Low,Use certified seeds
327,Leaf Spot,Wheat,Glycine,Caused by nematodes,Maintain good hygiene,Reddish pustules,Asia,High,Crop rotation
328,Rust,Wheat,Triticum,A fungal disease,Use resistant varieties,Leaf curling,Asia,Medium,Use certified seeds
329,Powdery Mildew,Wheat,Solanum,A parasitic infection,Apply neem oil,Leaf curling,Europe,Medium,Use certified seeds
330,Rust,Soybean,Lycopersicon,A viral infection,Use fungicides,Leaf curling,Asia,Medium,Avoid overhead irrigation
331,Late Blight,Wheat,Lycopersicon,Caused by nematodes,Use fungicides,Leaf curling,Europe,Low,Use certified seeds
332,Anthracnose,Soybean,Triticum,A fungal disease,Use fungicides,White powder on leaves,Europe,Low,Use mulch
333,Late Blight,Corn,Glycine,Caused by nematodes,Maintain good hygiene,Reddish pustules,Asia,High,Use certified seeds
334,Rust,Soybean,Glycine,A fungal disease,Use resistant varieties,Black spots on leaves,Australia,Low,Use mulch
335,Leaf Spot,Tomato,Triticum,A bacterial infection,Use fungicides,Reddish pustules,Australia,Low,Crop rotation
336,Anthracnose,Potato,Triticum,A viral infection,Use resistant varieties,Yellowing leaves,America,Low,Use mulch
337,Rust,Potato,Triticum,A fungal disease,Use fungicides,Leaf curling,Europe,Medium,Use mulch
338,Powdery Mildew,Tomato,Zea,A viral infection,Rotate crops,Reddish pustules,Australia,High,Avoid overhead irrigation
339,Rust,Soybean,Triticum,A viral infection,Apply neem oil,Leaf curling,Australia,Low,Avoid overhead irrigation
340,Powdery Mildew,Potato,Zea,Caused by nematodes,Maintain good hygiene,Leaf curling,America,Medium,Avoid overhead irrigation
341,Leaf Spot,Tomato,Solanum,A parasitic infection,Apply neem oil,White powder on leaves,Europe,Low,Use mulch
342,Powdery Mildew,Wheat,Triticum,Caused by nematodes,Apply neem oil,White powder on leaves,Asia,High,Use certified seeds
343,Late Blight,Tomato,Triticum,Caused by nematodes,Rotate crops,Leaf curling,Europe,High,Avoid overhead irrigation
344,Late Blight,Potato,Glycine,A parasitic infection,Use resistant varieties,Reddish pustules,Africa,Medium,Use certified seeds
345,Late Blight,Soybean,Triticum,A parasitic infection,Apply neem oil,Black spots on leaves,Australia,High,Use certified seeds
346,Late Blight,Soybean,Zea,Caused by nematodes,Rotate crops,White powder on leaves,America,Medium,Use certified seeds
347,Late Blight,Soybean,Zea,A viral infection,Use resistant varieties,Black spots on leaves,Europe,Low,Avoid overhead irrigation
348,Powdery Mildew,Potato,Triticum,A bacterial infection,Rotate crops,Black spots on leaves,America,Medium,Use certified seeds
349,Late Blight,Wheat,Zea,A parasitic infection,Use resistant varieties,Leaf curling,Africa,High,Crop rotation
350,Anthracnose,Soybean,Triticum,A bacterial infection,Rotate crops,White powder on leaves,Asia,Low,Use mulch
351,Powdery Mildew,Corn,Solanum,A viral infection,Apply neem oil,Leaf curling,Asia,High,Avoid overhead irrigation
352,Leaf Spot,Wheat,Zea,A parasitic infection,Apply neem oil,White powder on leaves,Australia,Low,Maintain field hygiene
353,Powdery Mildew,Tomato,Zea,A fungal disease,Rotate crops,Yellowing leaves,Europe,Medium,Use certified seeds
354,Rust,Corn,Zea,A fungal disease,Apply neem oil,Reddish pustules,Africa,Medium,Use mulch
355,Leaf Spot,Wheat,Zea,Caused by nematodes,Rotate crops,Yellowing leaves,Europe,Low,Maintain field hygiene
356,Late Blight,Potato,Triticum,A bacterial infection,Rotate crops,Reddish pustules,Europe,Medium,Maintain field hygiene
357,Late Blight,Corn,Triticum,A fungal disease,Maintain good hygiene,Reddish pustules,America,High,Use mulch
358,Rust,Wheat,Solanum,Caused by nematodes,Use fungicides,Reddish pustules,Australia,Low,Crop rotation
359,Late Blight,Wheat,Triticum,Caused by nematodes,Apply neem oil,White powder on leaves,Australia,High,Use mulch
360,Leaf Spot,Wheat,Zea,Caused by nematodes,Rotate crops,White powder on leaves,Europe,Low,Use certified seeds
361,Leaf Spot,Wheat,Solanum,A viral infection,Use fungicides,Reddish pustules,Europe,High,Use certified seeds
362,Leaf Spot,Soybean,Lycopersicon,A bacterial infection,Rotate crops,Yellowing leaves,Africa,Medium,Use certified seeds
363,Powdery Mildew,Corn,Glycine,A parasitic infection,Apply neem oil,Black spots on leaves,Europe,High,Maintain field hygiene
364,Powdery Mildew,Wheat,Solanum,Caused by nematodes,Rotate crops,Reddish pustules,Australia,Medium,Avoid overhead irrigation
365,Leaf Spot,Tomato,Glycine,A parasitic infection,Use resistant varieties,Black spots on leaves,America,High,Crop rotation
366,Powdery Mildew,Wheat,Zea,A fungal disease,Use resistant varieties,Yellowing leaves,Africa,Low,Use mulch
367,Powdery Mildew,Soybean,Lycopersicon,A viral infection,Maintain good hygiene,Black spots on leaves,America,High,Maintain field hygiene
368,Anthracnose,Corn,Glycine,A parasitic infection,Apply neem oil,White powder on leaves,Europe,High,Use certified seeds
369,Powdery Mildew,Corn,Solanum,Caused by nematodes,Apply neem oil,Yellowing leaves,Africa,Low,Use mulch
370,Anthracnose,Wheat,Triticum,A viral infection,Use fungicides,White powder on leaves,America,Medium,Crop rotation
371,Anthracnose,Wheat,Glycine,Caused by nematodes,Rotate crops,Black spots on leaves,Africa,High,Avoid overhead irrigation
372,Powdery Mildew,Tomato,Triticum,A viral infection,Apply neem oil,Leaf curling,Asia,High,Use certified seeds
373,Powdery Mildew,Corn,Glycine,A parasitic infection,Apply neem oil,Yellowing leaves,Asia,Low,Avoid overhead irrigation
374,Powdery Mildew,Corn,Zea,A parasitic infection,Use fungicides,Leaf curling,Australia,Low,Maintain field hygiene
375,Late Blight,Corn,Triticum,A fungal disease,Use resistant varieties,Reddish pustules,Africa,High,Avoid overhead irrigation
376,Anthracnose,Potato,Lycopersicon,A bacterial infection,Apply neem oil,Leaf curling,Africa,Low,Use certified seeds
377,Late Blight,Corn,Solanum,Caused by nematodes,Use fungicides,White powder on leaves,Australia,Medium,Use certified seeds
378,Leaf Spot,Corn,Lycopersicon,Caused by nematodes,Use resistant varieties,White powder on leaves,Asia,Medium,Crop rotation
379,Powdery Mildew,Tomato,Glycine,A fungal disease,Apply neem oil,Black spots on leaves,Africa,High,Maintain field hygiene
380,Leaf Spot,Tomato,Glycine,A viral infection,Use resistant varieties,Black spots on leaves,Australia,Low,Crop rotation
381,Late Blight,Soybean,Lycopersicon,A viral infection,Apply neem oil,Reddish pustules,Australia,High,Avoid overhead irrigation
382,Anthracnose,Tomato,Glycine,A parasitic infection,Maintain good hygiene,White powder on leaves,Africa,Medium,Use mulch
383,Rust,Corn,Zea,A parasitic infection,Rotate crops,Yellowing leaves,Asia,Medium,Use certified seeds
384,Powdery Mildew,Corn,Solanum,Caused by nematodes,Use fungicides,Reddish pustules,America,Medium,Crop rotation
385,Leaf Spot,Corn,Zea,A bacterial infection,Apply neem oil,Leaf curling,Asia,Medium,Use certified seeds
386,Leaf Spot,Tomato,Triticum,Caused by nematodes,Rotate crops,Yellowing leaves,Africa,Medium,Use mulch
387,Leaf Spot,Wheat,Solanum,A viral infection,Maintain good hygiene,Reddish pustules,Africa,High,Use certified seeds
388,Late Blight,Potato,Solanum,A bacterial infection,Use resistant varieties,Leaf curling,Africa,Medium,Avoid overhead irrigation
389,Late Blight,Soybean,Glycine,A bacterial infection,Maintain good hygiene,Yellowing leaves,Asia,High,Use mulch
390,Rust,Wheat,Triticum,A fungal disease,Rotate crops,Black spots on leaves,America,Medium,Maintain field hygiene
391,Late Blight,Potato,Lycopersicon,A parasitic infection,Use fungicides,White powder on leaves,America,Low,Crop rotation
392,Anthracnose,Tomato,Triticum,A bacterial infection,Rotate crops,Leaf curling,Australia,Medium,Use certified seeds
393,Anthracnose,Soybean,Lycopersicon,Caused by nematodes,Use resistant varieties,White powder on leaves,Australia,Low,Avoid overhead irrigation
394,Leaf Spot,Soybean,Triticum,A viral infection,Rotate crops,Leaf curling,Europe,High,Crop rotation
395,Powdery Mildew,Tomato,Triticum,A parasitic infection,Maintain good hygiene,White powder on leaves,Europe,Low,Use certified seeds
396,Leaf Spot,Wheat,Lycopersicon,Caused by nematodes,Rotate crops,Leaf curling,Europe,Medium,Avoid overhead irrigation
397,Anthracnose,Potato,Zea,A viral infection,Rotate crops,White powder on leaves,Europe,Low,Use mulch
398,Anthracnose,Corn,Glycine,Caused by nematodes,Rotate crops,Black spots on leaves,America,Medium,Maintain field hygiene
399,Anthracnose,Corn,Glycine,Caused by nematodes,Rotate crops,White powder on leaves,Africa,Medium,Use certified seeds
400,Leaf Spot,Potato,Glycine,A parasitic infection,Use resistant varieties,Leaf curling,America,High,Use certified seeds
401,Rust,Corn,Lycopersicon,A viral infection,Rotate crops,White powder on leaves,America,Medium,Use certified seeds
402,Powdery Mildew,Wheat,Glycine,Caused by nematodes,Use fungicides,White powder on leaves,Australia,Medium,Maintain field hygiene
403,Rust,Tomato,Solanum,A bacterial infection,Use resistant varieties,Reddish pustules,America,Low,Use certified seeds
404,Rust,Corn,Triticum,A parasitic infection,Use resistant varieties,Leaf curling,Europe,Medium,Maintain field hygiene
405,Powdery Mildew,Tomato,Lycopersicon,A fungal disease,Rotate crops,White powder on leaves,Australia,Low,Maintain field hygiene
406,Anthracnose,Corn,Lycopersicon,A bacterial infection,Maintain good hygiene,Leaf curling,Europe,High,Use mulch
407,Anthracnose,Corn,Solanum,A viral infection,Rotate crops,Reddish pustules,Australia,High,Crop rotation
408,Leaf Spot,Soybean,Triticum,A bacterial infection,Use resistant varieties,Leaf curling,Australia,High,Avoid overhead irrigation
409,Leaf Spot,Corn,Glycine,Caused by nematodes,Apply neem oil,Leaf curling,Asia,Medium,Maintain field hygiene
410,Rust,Soybean,Lycopersicon,A fungal disease,Use fungicides,Leaf curling,Australia,Low,Crop rotation
411,Powdery Mildew,Potato,Lycopersicon,A parasitic infection,Maintain good hygiene,Yellowing leaves,Asia,Medium,Maintain field hygiene
412,Powdery Mildew,Corn,Lycopersicon,A fungal disease,Maintain good hygiene,White powder on leaves,Africa,Low,Use mulch
413,Late Blight,Corn,Lycopersicon,A bacterial infection,Maintain good hygiene,Yellowing leaves,Europe,Medium,Use mulch
414,Late Blight,Corn,Lycopersicon,A fungal disease,Use resistant varieties,White powder on leaves,America,High,Use mulch
415,Rust,Soybean,Lycopersicon,A viral infection,Maintain good hygiene,White powder on leaves,Africa,High,Use mulch
416,Leaf Spot,Corn,Solanum,Caused by nematodes,Maintain good hygiene,Reddish pustules,America,High,Crop rotation
417,Anthracnose,Wheat,Lycopersicon,Caused by nematodes,Apply neem oil,Yellowing leaves,Europe,Low,Use certified seeds
418,Anthracnose,Potato,Zea,A viral infection,Apply neem oil,Yellowing leaves,America,Low,Avoid overhead irrigation
419,Rust,Tomato,Triticum,Caused by nematodes,Apply neem oil,Black spots on leaves,Australia,High,Maintain field hygiene
420,Powdery Mildew,Tomato,Triticum,A parasitic infection,Maintain good hygiene,Reddish pustules,Africa,Medium,Use certified seeds
421,Late Blight,Soybean,Glycine,Caused by nematodes,Maintain good hygiene,White powder on leaves,Asia,High,Crop rotation
422,Leaf Spot,Potato,Lycopersicon,Caused by nematodes,Rotate crops,White powder on leaves,America,High,Crop rotation
423,Powdery Mildew,Potato,Lycopersicon,A bacterial infection,Use resistant varieties,Black spots on leaves,Africa,Low,Avoid overhead irrigation
424,Leaf Spot,Tomato,Solanum,A fungal disease,Rotate crops,White powder on leaves,Asia,Medium,Avoid overhead irrigation
425,Leaf Spot,Soybean,Zea,Caused by nematodes,Use resistant varieties,Yellowing leaves,Europe,High,Use mulch
426,Rust,Wheat,Triticum,A bacterial infection,Rotate crops,Black spots on leaves,Europe,Medium,Use certified seeds
427,Late Blight,Potato,Triticum,A viral infection,Apply neem oil,Black spots on leaves,Africa,Medium,Crop rotation
428,Late Blight,Tomato,Glycine,A parasitic infection,Maintain good hygiene,White powder on leaves,Asia,Medium,Use certified seeds
429,Anthracnose,Wheat,Lycopersicon,A viral infection,Apply neem oil,White powder on leaves,Africa,High,Maintain field hygiene
430,Powdery Mildew,Wheat,Solanum,A parasitic infection,Rotate crops,Black spots on leaves,Africa,Medium,Use mulch
431,Powdery Mildew,Wheat,Glycine,A bacterial infection,Use resistant varieties,Yellowing leaves,Asia,Low,Use certified seeds
432,Late Blight,Corn,Glycine,A viral infection,Use fungicides,White powder on leaves,Australia,Medium,Maintain field hygiene
433,Leaf Spot,Wheat,Glycine,A bacterial infection,Use fungicides,White powder on leaves,America,Low,Avoid overhead irrigation
434,Anthracnose,Wheat,Solanum,A parasitic infection,Maintain good hygiene,Black spots on leaves,America,Low,Use mulch
435,Anthracnose,Tomato,Solanum,Caused by nematodes,Maintain good hygiene,Reddish pustules,America,Low,Use mulch
436,Leaf Spot,Soybean,Lycopersicon,A bacterial infection,Rotate crops,Yellowing leaves,Africa,Low,Maintain field hygiene
437,Anthracnose,Corn,Solanum,A fungal disease,Use resistant varieties,White powder on leaves,America,Medium,Use mulch
438,Leaf Spot,Tomato,Glycine,Caused by nematodes,Use resistant varieties,White powder on leaves,Africa,Low,Crop rotation
439,Anthracnose,Tomato,Lycopersicon,Caused by nematodes,Apply neem oil,Reddish pustules,Africa,Medium,Use mulch
440,Late Blight,Wheat,Glycine,A fungal disease,Rotate crops,White powder on leaves,Asia,High,Use certified seeds
441,Anthracnose,Corn,Glycine,A viral infection,Apply neem oil,Leaf curling,Europe,High,Avoid overhead irrigation
442,Anthracnose,Soybean,Triticum,A fungal disease,Rotate crops,Black spots on leaves,Asia,Medium,Use certified seeds
443,Powdery Mildew,Soybean,Solanum,Caused by nematodes,Rotate crops,White powder on leaves,Australia,Medium,Maintain field hygiene
444,Anthracnose,Tomato,Triticum,A viral infection,Maintain good hygiene,Leaf curling,America,Low,Use mulch
445,Leaf Spot,Corn,Triticum,A viral infection,Maintain good hygiene,White powder on leaves,Asia,High,Avoid overhead irrigation
446,Late Blight,Tomato,Glycine,A parasitic infection,Use resistant varieties,Black spots on leaves,Asia,High,Avoid overhead irrigation
447,Anthracnose,Tomato,Solanum,A fungal disease,Use resistant varieties,Leaf curling,Asia,Medium,Use mulch
448,Late Blight,Soybean,Glycine,Caused by nematodes,Maintain good hygiene,Leaf curling,Australia,Low,Use certified seeds
449,Late Blight,Soybean,Zea,A bacterial infection,Use fungicides,Black spots on leaves,Australia,Low,Crop rotation
450,Anthracnose,Tomato,Glycine,A parasitic infection,Use resistant varieties,Reddish pustules,America,Low,Maintain field hygiene
451,Powdery Mildew,Soybean,Glycine,A bacterial infection,Apply neem oil,Reddish pustules,Europe,Medium,Use mulch
452,Rust,Soybean,Solanum,A viral infection,Use fungicides,Black spots on leaves,America,Low,Crop rotation
453,Anthracnose,Wheat,Glycine,Caused by nematodes,Apply neem oil,White powder on leaves,Europe,Medium,Use mulch
454,Rust,Wheat,Glycine,Caused by nematodes,Rotate crops,Yellowing leaves,Europe,High,Maintain field hygiene
455,Anthracnose,Potato,Triticum,A fungal disease,Rotate crops,White powder on leaves,Australia,Medium,Use certified seeds
456,Late Blight,Potato,Glycine,Caused by nematodes,Rotate crops,Leaf curling,Australia,Medium,Use certified seeds
457,Anthracnose,Tomato,Solanum,Caused by nematodes,Use resistant varieties,Yellowing leaves,Asia,High,Maintain field hygiene
458,Rust,Tomato,Triticum,A fungal disease,Use resistant varieties,Leaf curling,America,High,Maintain field hygiene
459,Late Blight,Tomato,Lycopersicon,A fungal disease,Rotate crops,Leaf curling,Europe,Medium,Use certified seeds
460,Anthracnose,Tomato,Lycopersicon,Caused by nematodes,Use resistant varieties,Black spots on leaves,Europe,High,Use certified seeds
461,Powdery Mildew,Soybean,Glycine,Caused by nematodes,Use resistant varieties,Reddish pustules,Europe,Low,Use mulch
462,Leaf Spot,Potato,Triticum,A parasitic infection,Apply neem oil,Reddish pustules,Asia,Medium,Crop rotation
463,Anthracnose,Tomato,Zea,A bacterial infection,Maintain good hygiene,Reddish pustules,Australia,Medium,Use mulch
464,Powdery Mildew,Wheat,Lycopersicon,A parasitic infection,Rotate crops,Reddish pustules,Australia,Medium,Avoid overhead irrigation
465,Rust,Soybean,Triticum,A parasitic infection,Use fungicides,Yellowing leaves,Asia,High,Crop rotation
466,Powdery Mildew,Potato,Lycopersicon,A viral infection,Maintain good hygiene,Reddish pustules,America,Low,Crop rotation
467,Leaf Spot,Soybean,Triticum,Caused by nematodes,Maintain good hygiene,Black spots on leaves,America,Low,Maintain field hygiene
468,Powdery Mildew,Corn,Glycine,A parasitic infection,Apply neem oil,White powder on leaves,Asia,Low,Use mulch
469,Anthracnose,Tomato,Triticum,Caused by nematodes,Rotate crops,Leaf curling,Australia,High,Crop rotation
470,Powdery Mildew,Wheat,Triticum,A parasitic infection,Use fungicides,White powder on leaves,America,High,Crop rotation
471,Anthracnose,Potato,Solanum,A viral infection,Use fungicides,Yellowing leaves,Europe,Medium,Maintain field hygiene
472,Rust,Soybean,Glycine,Caused by nematodes,Apply neem oil,Black spots on leaves,Europe,Low,Use certified seeds
473,Leaf Spot,Potato,Zea,A bacterial infection,Maintain good hygiene,Leaf curling,Australia,Medium,Avoid overhead irrigation
474,Powdery Mildew,Corn,Lycopersicon,A viral infection,Apply neem oil,Yellowing leaves,Asia,High,Use certified seeds
475,Leaf Spot,Wheat,Triticum,A fungal disease,Use fungicides,Black spots on leaves,Asia,High,Crop rotation
476,Powdery Mildew,Soybean,Triticum,A bacterial infection,Maintain good hygiene,Leaf curling,America,Medium,Avoid overhead irrigation
477,Leaf Spot,Corn,Glycine,A parasitic infection,Maintain good hygiene,Reddish pustules,Australia,High,Use certified seeds
478,Powdery Mildew,Wheat,Solanum,Caused by nematodes,Apply neem oil,Leaf curling,Australia,High,Use certified seeds
479,Rust,Tomato,Lycopersicon,Caused by nematodes,Rotate crops,Yellowing leaves,America,High,Use mulch
480,Rust,Potato,Zea,A bacterial infection,Use resistant varieties,Yellowing leaves,Australia,Low,Use mulch
